Local time,Open,High,Low,Close,Volume
04.07.2021 22:00:00.000 GMT+0100,83.454,83.486,83.405,83.473,52320.000100000005
04.07.2021 22:15:00.000 GMT+0100,83.458,83.492,83.458,83.473,64589.99939999999
04.07.2021 22:30:00.000 GMT+0100,83.474,83.497,83.474,83.486,73359.9997
04.07.2021 22:45:00.000 GMT+0100,83.487,83.527,83.486,83.523,92369.9999
04.07.2021 23:00:00.000 GMT+0100,83.524,83.588,83.509,83.583,977850.0242
04.07.2021 23:15:00.000 GMT+0100,83.583,83.614,83.583,83.585,624130.003
04.07.2021 23:30:00.000 GMT+0100,83.584,83.602,83.569,83.572,399519.99929999997
04.07.2021 23:45:00.000 GMT+0100,83.575,83.585,83.561,83.578,512430.00710000005
05.07.2021 00:00:00.000 GMT+0100,83.580,83.608,83.580,83.589,760530.0026000001
05.07.2021 00:15:00.000 GMT+0100,83.590,83.605,83.580,83.599,1042370.0009000001
05.07.2021 00:30:00.000 GMT+0100,83.602,83.606,83.565,83.568,664869.9989
05.07.2021 00:45:00.000 GMT+0100,83.567,83.574,83.549,83.554,895640.0052
05.07.2021 01:00:00.000 GMT+0100,83.554,83.559,83.513,83.523,1676439.9718
05.07.2021 01:15:00.000 GMT+0100,83.526,83.556,83.519,83.542,774189.9929000002
05.07.2021 01:30:00.000 GMT+0100,83.543,83.561,83.530,83.551,644210.0001000001
05.07.2021 01:45:00.000 GMT+0100,83.549,83.551,83.485,83.516,1408010.0096000005
05.07.2021 02:00:00.000 GMT+0100,83.516,83.546,83.448,83.452,1676150.0015999998
05.07.2021 02:15:00.000 GMT+0100,83.452,83.545,83.451,83.536,1165980.0072
05.07.2021 02:30:00.000 GMT+0100,83.536,83.537,83.481,83.494,1448660.0035
05.07.2021 02:45:00.000 GMT+0100,83.494,83.520,83.468,83.498,1133459.9992
05.07.2021 03:00:00.000 GMT+0100,83.496,83.524,83.470,83.520,1142049.9917
05.07.2021 03:15:00.000 GMT+0100,83.523,83.527,83.465,83.476,549360.0042999999
05.07.2021 03:30:00.000 GMT+0100,83.477,83.519,83.473,83.498,1254530.0063999998
05.07.2021 03:45:00.000 GMT+0100,83.499,83.532,83.499,83.515,495420.0002
05.07.2021 04:00:00.000 GMT+0100,83.516,83.560,83.516,83.552,644269.9986
05.07.2021 04:15:00.000 GMT+0100,83.552,83.580,83.529,83.537,622190.0062000001
05.07.2021 04:30:00.000 GMT+0100,83.538,83.544,83.477,83.502,570629.9995000002
05.07.2021 04:45:00.000 GMT+0100,83.504,83.549,83.465,83.471,813030.0064000001
05.07.2021 05:00:00.000 GMT+0100,83.473,83.508,83.453,83.493,660630.0009999999
05.07.2021 05:15:00.000 GMT+0100,83.494,83.515,83.494,83.504,286880.0042
05.07.2021 05:30:00.000 GMT+0100,83.504,83.521,83.502,83.513,290419.9958
05.07.2021 05:45:00.000 GMT+0100,83.513,83.543,83.513,83.537,617729.9992
05.07.2021 06:00:00.000 GMT+0100,83.536,83.545,83.524,83.540,398479.99919999996
05.07.2021 06:15:00.000 GMT+0100,83.539,83.558,83.532,83.534,559499.9992000001
05.07.2021 06:30:00.000 GMT+0100,83.535,83.538,83.468,83.471,816679.9981999998
05.07.2021 06:45:00.000 GMT+0100,83.474,83.499,83.470,83.487,918890.0014999999
05.07.2021 07:00:00.000 GMT+0100,83.487,83.538,83.467,83.514,1304600.0004999998
05.07.2021 07:15:00.000 GMT+0100,83.513,83.538,83.496,83.514,1058860.0007
05.07.2021 07:30:00.000 GMT+0100,83.516,83.553,83.505,83.539,2382000
05.07.2021 07:45:00.000 GMT+0100,83.539,83.548,83.495,83.512,1156349.9831
05.07.2021 08:00:00.000 GMT+0100,83.511,83.526,83.483,83.492,1623979.9997000003
05.07.2021 08:15:00.000 GMT+0100,83.491,83.513,83.471,83.501,1280119.9913
05.07.2021 08:30:00.000 GMT+0100,83.499,83.541,83.490,83.494,1775039.9893999998
05.07.2021 08:45:00.000 GMT+0100,83.490,83.525,83.480,83.510,1962689.9911000002
05.07.2021 09:00:00.000 GMT+0100,83.511,83.524,83.461,83.523,1835349.9983999997
05.07.2021 09:15:00.000 GMT+0100,83.522,83.544,83.496,83.504,1342620.0066000002
05.07.2021 09:30:00.000 GMT+0100,83.505,83.514,83.492,83.512,922440.0071999999
05.07.2021 09:45:00.000 GMT+0100,83.511,83.558,83.510,83.526,1038949.9931999999
05.07.2021 10:00:00.000 GMT+0100,83.525,83.534,83.500,83.530,1345779.9951000002
05.07.2021 10:15:00.000 GMT+0100,83.529,83.530,83.498,83.521,1178240.0208
05.07.2021 10:30:00.000 GMT+0100,83.520,83.520,83.492,83.507,1340760.0060999999
05.07.2021 10:45:00.000 GMT+0100,83.506,83.519,83.490,83.499,1039009.9983999999
05.07.2021 11:00:00.000 GMT+0100,83.498,83.513,83.473,83.491,1135160.0072
05.07.2021 11:15:00.000 GMT+0100,83.491,83.491,83.419,83.445,1140509.9984
05.07.2021 11:30:00.000 GMT+0100,83.447,83.461,83.432,83.452,677469.9993
05.07.2021 11:45:00.000 GMT+0100,83.452,83.489,83.446,83.473,851000.0096999998
05.07.2021 12:00:00.000 GMT+0100,83.473,83.505,83.464,83.500,663429.9987000001
05.07.2021 12:15:00.000 GMT+0100,83.504,83.518,83.480,83.481,601600.0022
05.07.2021 12:30:00.000 GMT+0100,83.481,83.502,83.479,83.488,855709.9953
05.07.2021 12:45:00.000 GMT+0100,83.489,83.505,83.455,83.471,808660.0075999999
05.07.2021 13:00:00.000 GMT+0100,83.471,83.504,83.454,83.494,1191860.0043000001
05.07.2021 13:15:00.000 GMT+0100,83.495,83.538,83.481,83.528,1449429.9852
05.07.2021 13:30:00.000 GMT+0100,83.529,83.532,83.479,83.496,1086819.9979
05.07.2021 13:45:00.000 GMT+0100,83.493,83.504,83.464,83.485,1134040.0082999999
05.07.2021 14:00:00.000 GMT+0100,83.484,83.509,83.450,83.495,1442210.0069
05.07.2021 14:15:00.000 GMT+0100,83.497,83.524,83.479,83.499,1217640.0088
05.07.2021 14:30:00.000 GMT+0100,83.499,83.520,83.490,83.494,919509.9907
05.07.2021 14:45:00.000 GMT+0100,83.493,83.517,83.474,83.504,1081440.0064
05.07.2021 15:00:00.000 GMT+0100,83.503,83.518,83.427,83.453,1086940.0063
05.07.2021 15:15:00.000 GMT+0100,83.453,83.492,83.450,83.469,726069.9997
05.07.2021 15:30:00.000 GMT+0100,83.469,83.499,83.467,83.490,584750.0086000002
05.07.2021 15:45:00.000 GMT+0100,83.491,83.541,83.489,83.536,1652119.995
05.07.2021 16:00:00.000 GMT+0100,83.537,83.557,83.520,83.531,1577359.9913
05.07.2021 16:15:00.000 GMT+0100,83.530,83.557,83.516,83.533,1009340.0001999999
05.07.2021 16:30:00.000 GMT+0100,83.533,83.546,83.515,83.534,604879.9963000001
05.07.2021 16:45:00.000 GMT+0100,83.530,83.547,83.526,83.536,639580.0027999999
05.07.2021 17:00:00.000 GMT+0100,83.535,83.551,83.531,83.542,479819.9987999999
05.07.2021 17:15:00.000 GMT+0100,83.543,83.563,83.525,83.537,658899.9934
05.07.2021 17:30:00.000 GMT+0100,83.538,83.555,83.531,83.543,388179.9978999999
05.07.2021 17:45:00.000 GMT+0100,83.543,83.555,83.531,83.541,707300.0106
05.07.2021 18:00:00.000 GMT+0100,83.541,83.544,83.501,83.532,869789.9971
05.07.2021 18:15:00.000 GMT+0100,83.532,83.537,83.492,83.512,6698280.0139
05.07.2021 18:30:00.000 GMT+0100,83.510,83.532,83.483,83.513,3970700.0198
05.07.2021 18:45:00.000 GMT+0100,83.514,83.533,83.493,83.511,1407529.995
05.07.2021 19:00:00.000 GMT+0100,83.511,83.527,83.493,83.506,2443219.9936
05.07.2021 19:15:00.000 GMT+0100,83.504,83.522,83.501,83.512,3031729.9805
05.07.2021 19:30:00.000 GMT+0100,83.513,83.540,83.483,83.531,4590820.022600001
05.07.2021 19:45:00.000 GMT+0100,83.536,83.562,83.514,83.521,2846320.0264
05.07.2021 20:00:00.000 GMT+0100,83.522,83.556,83.515,83.554,1793000
05.07.2021 20:15:00.000 GMT+0100,83.555,83.581,83.547,83.569,2515260.0174
05.07.2021 20:30:00.000 GMT+0100,83.568,83.593,83.565,83.579,1920809.9881000002
05.07.2021 20:45:00.000 GMT+0100,83.579,83.587,83.557,83.574,4009179.9620999997
05.07.2021 21:00:00.000 GMT+0100,83.575,83.576,83.544,83.558,2592350.0441
05.07.2021 21:15:00.000 GMT+0100,83.558,83.569,83.557,83.559,813500
05.07.2021 21:30:00.000 GMT+0100,83.559,83.560,83.548,83.558,138000
05.07.2021 21:45:00.000 GMT+0100,83.558,83.568,83.486,83.486,296099.9999
05.07.2021 22:00:00.000 GMT+0100,83.506,83.563,83.476,83.518,25289.9999
05.07.2021 22:15:00.000 GMT+0100,83.519,83.562,83.519,83.541,45480.0004
05.07.2021 22:30:00.000 GMT+0100,83.530,83.555,83.524,83.538,75130.00020000001
05.07.2021 22:45:00.000 GMT+0100,83.540,83.546,83.540,83.542,59250
05.07.2021 23:00:00.000 GMT+0100,83.540,83.590,83.531,83.585,329300.00419999997
05.07.2021 23:15:00.000 GMT+0100,83.588,83.702,83.582,83.695,813389.9968999999
05.07.2021 23:30:00.000 GMT+0100,83.696,83.713,83.663,83.687,639760.0042000001
05.07.2021 23:45:00.000 GMT+0100,83.687,83.703,83.677,83.694,406499.99629999994
06.07.2021 00:00:00.000 GMT+0100,83.693,83.693,83.650,83.668,615350.0022000001
06.07.2021 00:15:00.000 GMT+0100,83.667,83.682,83.653,83.677,483030.0042
06.07.2021 00:30:00.000 GMT+0100,83.679,83.687,83.669,83.672,226789.9993
06.07.2021 00:45:00.000 GMT+0100,83.671,83.705,83.629,83.636,913990.0093999999
06.07.2021 01:00:00.000 GMT+0100,83.634,83.635,83.579,83.593,1406529.9991
06.07.2021 01:15:00.000 GMT+0100,83.592,83.621,83.575,83.591,628020.0025999999
06.07.2021 01:30:00.000 GMT+0100,83.592,83.636,83.590,83.610,716609.9988
06.07.2021 01:45:00.000 GMT+0100,83.612,83.672,83.611,83.611,1674690.0101
06.07.2021 02:00:00.000 GMT+0100,83.610,83.678,83.610,83.634,1111919.9982
06.07.2021 02:15:00.000 GMT+0100,83.633,83.640,83.574,83.574,1079080.0001
06.07.2021 02:30:00.000 GMT+0100,83.575,83.592,83.554,83.569,1265209.9914
06.07.2021 02:45:00.000 GMT+0100,83.569,83.681,83.565,83.679,1838370.0102999997
06.07.2021 03:00:00.000 GMT+0100,83.679,83.739,83.666,83.720,1371249.9998999997
06.07.2021 03:15:00.000 GMT+0100,83.718,83.753,83.708,83.723,931289.9989000001
06.07.2021 03:30:00.000 GMT+0100,83.722,83.750,83.721,83.736,699370.0009000001
06.07.2021 03:45:00.000 GMT+0100,83.736,83.806,83.725,83.794,741579.9959
06.07.2021 04:00:00.000 GMT+0100,83.793,83.823,83.777,83.820,922839.9961
06.07.2021 04:15:00.000 GMT+0100,83.820,83.855,83.801,83.852,937039.9970999999
06.07.2021 04:30:00.000 GMT+0100,83.853,83.895,83.841,83.893,1016920.0077
06.07.2021 04:45:00.000 GMT+0100,83.893,83.904,83.877,83.884,1230669.9963000002
06.07.2021 05:00:00.000 GMT+0100,83.883,83.884,83.839,83.852,1145649.9995000002
06.07.2021 05:15:00.000 GMT+0100,83.853,83.857,83.809,83.846,721080.0037999998
06.07.2021 05:30:00.000 GMT+0100,83.848,83.932,83.626,83.673,3220370.0178
06.07.2021 05:45:00.000 GMT+0100,83.673,83.799,83.673,83.787,1089360.0044000002
06.07.2021 06:00:00.000 GMT+0100,83.788,83.862,83.788,83.856,1463989.9903000002
06.07.2021 06:15:00.000 GMT+0100,83.854,83.912,83.839,83.854,927959.9915
06.07.2021 06:30:00.000 GMT+0100,83.853,83.884,83.835,83.876,1082040.0010000002
06.07.2021 06:45:00.000 GMT+0100,83.876,83.967,83.856,83.966,1460889.9955
06.07.2021 07:00:00.000 GMT+0100,83.967,84.182,83.933,84.166,2774270.0119000003
06.07.2021 07:15:00.000 GMT+0100,84.164,84.193,84.064,84.117,2895000.0076000006
06.07.2021 07:30:00.000 GMT+0100,84.120,84.122,84.055,84.092,1812799.9800999998
06.07.2021 07:45:00.000 GMT+0100,84.094,84.162,84.088,84.159,1376639.9917
06.07.2021 08:00:00.000 GMT+0100,84.158,84.160,84.085,84.103,2965060.0282000005
06.07.2021 08:15:00.000 GMT+0100,84.102,84.126,84.069,84.089,1942669.9981999998
06.07.2021 08:30:00.000 GMT+0100,84.091,84.101,83.964,83.987,2279639.9917
06.07.2021 08:45:00.000 GMT+0100,83.986,84.017,83.942,83.967,2279960.0143000004
06.07.2021 09:00:00.000 GMT+0100,83.966,83.970,83.918,83.941,2502229.9882999994
06.07.2021 09:15:00.000 GMT+0100,83.940,83.940,83.874,83.907,2143149.9864
06.07.2021 09:30:00.000 GMT+0100,83.908,83.980,83.882,83.963,2388619.9876
06.07.2021 09:45:00.000 GMT+0100,83.960,83.982,83.940,83.969,1852570.0339999995
06.07.2021 10:00:00.000 GMT+0100,83.969,83.995,83.936,83.942,1916840.0077000002
06.07.2021 10:15:00.000 GMT+0100,83.943,83.944,83.877,83.913,1992090.0115999999
06.07.2021 10:30:00.000 GMT+0100,83.915,83.957,83.868,83.952,1896829.9944999998
06.07.2021 10:45:00.000 GMT+0100,83.951,83.985,83.932,83.958,1636030.0064000003
06.07.2021 11:00:00.000 GMT+0100,83.957,83.991,83.950,83.987,1571310.0128
06.07.2021 11:15:00.000 GMT+0100,83.987,84.043,83.937,83.942,1425399.9976999997
06.07.2021 11:30:00.000 GMT+0100,83.940,83.969,83.910,83.934,1440599.9983000003
06.07.2021 11:45:00.000 GMT+0100,83.934,83.934,83.838,83.847,1597370.0067000003
06.07.2021 12:00:00.000 GMT+0100,83.846,83.891,83.839,83.841,1501100.0251000002
06.07.2021 12:15:00.000 GMT+0100,83.840,83.886,83.840,83.885,1272020.0158000002
06.07.2021 12:30:00.000 GMT+0100,83.885,83.885,83.800,83.804,1301889.9993
06.07.2021 12:45:00.000 GMT+0100,83.804,83.834,83.786,83.812,1619840.0039
06.07.2021 13:00:00.000 GMT+0100,83.811,83.849,83.781,83.786,1884150.0015
06.07.2021 13:15:00.000 GMT+0100,83.785,83.833,83.748,83.826,2174369.9951
06.07.2021 13:30:00.000 GMT+0100,83.827,83.863,83.807,83.834,2195200.0047
06.07.2021 13:45:00.000 GMT+0100,83.833,83.844,83.756,83.767,2094980.0263
06.07.2021 14:00:00.000 GMT+0100,83.766,83.780,83.643,83.674,3271649.9786000005
06.07.2021 14:15:00.000 GMT+0100,83.673,83.735,83.667,83.702,2566860.0081
06.07.2021 14:30:00.000 GMT+0100,83.704,83.713,83.541,83.555,3648499.984700001
06.07.2021 14:45:00.000 GMT+0100,83.555,83.642,83.535,83.544,3069089.9809999997
06.07.2021 15:00:00.000 GMT+0100,83.542,83.552,83.281,83.327,4924680.069
06.07.2021 15:15:00.000 GMT+0100,83.327,83.327,83.069,83.103,4528090.027000001
06.07.2021 15:30:00.000 GMT+0100,83.100,83.195,82.883,83.147,4129800.0183000006
