Local time,Open,High,Low,Close,Volume
04.07.2021 22:00:00.000 GMT+0100,1.06978,1.07018,1.06978,1.06998,26739.9999
04.07.2021 22:15:00.000 GMT+0100,1.06998,1.07023,1.06997,1.07006,84750
04.07.2021 22:30:00.000 GMT+0100,1.07014,1.07029,1.07004,1.07005,94119.9999
04.07.2021 22:45:00.000 GMT+0100,1.07003,1.07011,1.06992,1.06993,71250
04.07.2021 23:00:00.000 GMT+0100,1.06993,1.07022,1.06984,1.07022,455089.99729999993
04.07.2021 23:15:00.000 GMT+0100,1.07022,1.07033,1.07002,1.07005,275090.0035
04.07.2021 23:30:00.000 GMT+0100,1.07005,1.07028,1.06999,1.07009,321520.0005
04.07.2021 23:45:00.000 GMT+0100,1.07009,1.07017,1.06994,1.07012,203489.9998
05.07.2021 00:00:00.000 GMT+0100,1.07013,1.07033,1.06996,1.07020,334000
05.07.2021 00:15:00.000 GMT+0100,1.07020,1.07030,1.06998,1.07017,376000
05.07.2021 00:30:00.000 GMT+0100,1.07018,1.07036,1.07008,1.07018,302069.9997
05.07.2021 00:45:00.000 GMT+0100,1.07017,1.07031,1.07005,1.07009,524300.002
05.07.2021 01:00:00.000 GMT+0100,1.07016,1.07030,1.06997,1.06998,660959.9991
05.07.2021 01:15:00.000 GMT+0100,1.06998,1.07006,1.06978,1.06985,475680.00029999996
05.07.2021 01:30:00.000 GMT+0100,1.06983,1.06998,1.06975,1.06987,333539.9952
05.07.2021 01:45:00.000 GMT+0100,1.06987,1.07002,1.06981,1.06990,613649.9977000001
05.07.2021 02:00:00.000 GMT+0100,1.06990,1.06997,1.06956,1.06972,761210.0029
05.07.2021 02:15:00.000 GMT+0100,1.06971,1.06995,1.06957,1.06989,790359.9948
05.07.2021 02:30:00.000 GMT+0100,1.06989,1.07007,1.06982,1.06992,565559.9994
05.07.2021 02:45:00.000 GMT+0100,1.06992,1.07054,1.06987,1.07034,657569.9998000001
05.07.2021 03:00:00.000 GMT+0100,1.07033,1.07069,1.07031,1.07056,591409.998
05.07.2021 03:15:00.000 GMT+0100,1.07055,1.07069,1.07048,1.07053,238900.0016
05.07.2021 03:30:00.000 GMT+0100,1.07052,1.07087,1.07047,1.07085,327369.9999
05.07.2021 03:45:00.000 GMT+0100,1.07089,1.07089,1.07057,1.07065,325599.99840000004
05.07.2021 04:00:00.000 GMT+0100,1.07065,1.07123,1.07064,1.07101,453710.001
05.07.2021 04:15:00.000 GMT+0100,1.07101,1.07118,1.07083,1.07086,549040.0018999999
05.07.2021 04:30:00.000 GMT+0100,1.07087,1.07110,1.07071,1.07082,504629.99919999996
05.07.2021 04:45:00.000 GMT+0100,1.07080,1.07091,1.07064,1.07064,416190.0014
05.07.2021 05:00:00.000 GMT+0100,1.07065,1.07084,1.07049,1.07076,379680.00320000004
05.07.2021 05:15:00.000 GMT+0100,1.07076,1.07084,1.07061,1.07074,341269.99730000005
05.07.2021 05:30:00.000 GMT+0100,1.07074,1.07085,1.07073,1.07073,200250.00059999997
05.07.2021 05:45:00.000 GMT+0100,1.07074,1.07093,1.07066,1.07087,296259.9983
05.07.2021 06:00:00.000 GMT+0100,1.07086,1.07108,1.07079,1.07107,298730.002
05.07.2021 06:15:00.000 GMT+0100,1.07108,1.07117,1.07095,1.07095,436169.9963
05.07.2021 06:30:00.000 GMT+0100,1.07096,1.07098,1.07073,1.07078,676829.9972999999
