Local time,Open,High,Low,Close,Volume
04.07.2021 22:00:00.000 GMT+0100,0.75204,0.75232,0.75177,0.75223,82929.9995
04.07.2021 22:15:00.000 GMT+0100,0.75223,0.75237,0.75223,0.75229,70090
04.07.2021 22:30:00.000 GMT+0100,0.75231,0.75236,0.75226,0.75228,34179.999599999996
04.07.2021 22:45:00.000 GMT+0100,0.75228,0.75239,0.75228,0.75234,60589.999299999996
04.07.2021 23:00:00.000 GMT+0100,0.75250,0.75286,0.75243,0.75268,447240.0017
04.07.2021 23:15:00.000 GMT+0100,0.75268,0.75287,0.75239,0.75239,357240.0039
04.07.2021 23:30:00.000 GMT+0100,0.75240,0.75248,0.75219,0.75219,328090.00289999996
04.07.2021 23:45:00.000 GMT+0100,0.75221,0.75226,0.75186,0.75192,375599.99929999997
05.07.2021 00:00:00.000 GMT+0100,0.75194,0.75236,0.75193,0.75203,426690.0015
05.07.2021 00:15:00.000 GMT+0100,0.75204,0.75219,0.75195,0.75214,627010.007
05.07.2021 00:30:00.000 GMT+0100,0.75219,0.75221,0.75184,0.75188,379190.0068000001
05.07.2021 00:45:00.000 GMT+0100,0.75188,0.75194,0.75171,0.75176,876079.9979000001
05.07.2021 01:00:00.000 GMT+0100,0.75176,0.75179,0.75127,0.75136,1177489.9918000002
05.07.2021 01:15:00.000 GMT+0100,0.75136,0.75178,0.75136,0.75148,414259.9946
05.07.2021 01:30:00.000 GMT+0100,0.75149,0.75165,0.75135,0.75159,373810.00010000006
05.07.2021 01:45:00.000 GMT+0100,0.75157,0.75160,0.75117,0.75140,560290.0004
05.07.2021 02:00:00.000 GMT+0100,0.75142,0.75161,0.75085,0.75090,911339.984
05.07.2021 02:15:00.000 GMT+0100,0.75090,0.75192,0.75089,0.75182,786350.0062
05.07.2021 02:30:00.000 GMT+0100,0.75182,0.75200,0.75150,0.75159,1006649.9974999999
05.07.2021 02:45:00.000 GMT+0100,0.75160,0.75205,0.75135,0.75181,803160.0093
05.07.2021 03:00:00.000 GMT+0100,0.75181,0.75184,0.75145,0.75183,712140.0012999999
05.07.2021 03:15:00.000 GMT+0100,0.75184,0.75187,0.75126,0.75136,483979.9972
05.07.2021 03:30:00.000 GMT+0100,0.75137,0.75158,0.75127,0.75150,672220.0096999999
05.07.2021 03:45:00.000 GMT+0100,0.75152,0.75177,0.75150,0.75174,259849.99949999998
05.07.2021 04:00:00.000 GMT+0100,0.75175,0.75215,0.75175,0.75211,431369.99899999995
05.07.2021 04:15:00.000 GMT+0100,0.75212,0.75231,0.75190,0.75197,439879.99809999997
05.07.2021 04:30:00.000 GMT+0100,0.75200,0.75201,0.75132,0.75150,501670.0029
05.07.2021 04:45:00.000 GMT+0100,0.75153,0.75193,0.75110,0.75116,551929.9954
05.07.2021 05:00:00.000 GMT+0100,0.75117,0.75137,0.75084,0.75127,413390.00990000006
05.07.2021 05:15:00.000 GMT+0100,0.75126,0.75147,0.75125,0.75137,168380.0016
05.07.2021 05:30:00.000 GMT+0100,0.75138,0.75151,0.75136,0.75144,198440.001
05.07.2021 05:45:00.000 GMT+0100,0.75144,0.75171,0.75144,0.75163,321969.996
05.07.2021 06:00:00.000 GMT+0100,0.75162,0.75173,0.75152,0.75170,324779.99860000005
05.07.2021 06:15:00.000 GMT+0100,0.75169,0.75201,0.75167,0.75182,448180.00659999996
05.07.2021 06:30:00.000 GMT+0100,0.75183,0.75186,0.75115,0.75117,620810.0020999999
05.07.2021 06:45:00.000 GMT+0100,0.75118,0.75140,0.75101,0.75117,767780.0064000001
05.07.2021 07:00:00.000 GMT+0100,0.75118,0.75179,0.75096,0.75154,976760.0019
05.07.2021 07:15:00.000 GMT+0100,0.75154,0.75184,0.75135,0.75176,861510.006
05.07.2021 07:30:00.000 GMT+0100,0.75176,0.75258,0.75175,0.75248,1868450.0123
05.07.2021 07:45:00.000 GMT+0100,0.75248,0.75265,0.75222,0.75253,714629.9952000001
05.07.2021 08:00:00.000 GMT+0100,0.75252,0.75252,0.75181,0.75185,1198259.9869
05.07.2021 08:15:00.000 GMT+0100,0.75183,0.75213,0.75158,0.75196,1061669.9981999998
05.07.2021 08:30:00.000 GMT+0100,0.75197,0.75253,0.75191,0.75215,1420410.0035
05.07.2021 08:45:00.000 GMT+0100,0.75213,0.75311,0.75209,0.75290,1860640.0069000002
05.07.2021 09:00:00.000 GMT+0100,0.75291,0.75338,0.75270,0.75338,1167619.9915
05.07.2021 09:15:00.000 GMT+0100,0.75336,0.75360,0.75297,0.75298,945199.9931999999
05.07.2021 09:30:00.000 GMT+0100,0.75297,0.75307,0.75277,0.75305,562620.0007
05.07.2021 09:45:00.000 GMT+0100,0.75307,0.75347,0.75302,0.75312,965600.0042000001
05.07.2021 10:00:00.000 GMT+0100,0.75310,0.75331,0.75293,0.75327,1131159.9999000002
05.07.2021 10:15:00.000 GMT+0100,0.75328,0.75334,0.75299,0.75332,888370.0009000001
05.07.2021 10:30:00.000 GMT+0100,0.75330,0.75369,0.75308,0.75358,819309.9994000002
05.07.2021 10:45:00.000 GMT+0100,0.75358,0.75362,0.75317,0.75331,821260.0003
05.07.2021 11:00:00.000 GMT+0100,0.75332,0.75356,0.75306,0.75328,801210.0031000001
05.07.2021 11:15:00.000 GMT+0100,0.75328,0.75328,0.75258,0.75277,1082460.0066
05.07.2021 11:30:00.000 GMT+0100,0.75277,0.75310,0.75269,0.75310,534320.0051000001
05.07.2021 11:45:00.000 GMT+0100,0.75310,0.75342,0.75304,0.75320,683130.0009000001
05.07.2021 12:00:00.000 GMT+0100,0.75319,0.75355,0.75316,0.75353,404640.0013
05.07.2021 12:15:00.000 GMT+0100,0.75352,0.75368,0.75326,0.75327,454250
05.07.2021 12:30:00.000 GMT+0100,0.75329,0.75331,0.75295,0.75300,622469.9965000001
05.07.2021 12:45:00.000 GMT+0100,0.75300,0.75311,0.75289,0.75302,626190.0038000001
05.07.2021 13:00:00.000 GMT+0100,0.75302,0.75318,0.75277,0.75292,990610.0024999998
05.07.2021 13:15:00.000 GMT+0100,0.75292,0.75316,0.75261,0.75307,1026040.0065
05.07.2021 13:30:00.000 GMT+0100,0.75308,0.75316,0.75254,0.75271,952879.9989999998
05.07.2021 13:45:00.000 GMT+0100,0.75269,0.75279,0.75242,0.75259,981850.0023000002
05.07.2021 14:00:00.000 GMT+0100,0.75257,0.75287,0.75227,0.75272,1158590.0038
05.07.2021 14:15:00.000 GMT+0100,0.75273,0.75275,0.75225,0.75240,1054779.9969000001
05.07.2021 14:30:00.000 GMT+0100,0.75239,0.75279,0.75232,0.75255,749800.003
05.07.2021 14:45:00.000 GMT+0100,0.75256,0.75266,0.75240,0.75255,1109890.0032999997
05.07.2021 15:00:00.000 GMT+0100,0.75259,0.75276,0.75171,0.75204,982589.9999
05.07.2021 15:15:00.000 GMT+0100,0.75202,0.75236,0.75195,0.75214,538070.0023
05.07.2021 15:30:00.000 GMT+0100,0.75214,0.75248,0.75212,0.75243,434359.99780000007
05.07.2021 15:45:00.000 GMT+0100,0.75242,0.75301,0.75242,0.75295,813300.0184
05.07.2021 16:00:00.000 GMT+0100,0.75295,0.75324,0.75285,0.75301,894509.9926999998
05.07.2021 16:15:00.000 GMT+0100,0.75301,0.75326,0.75290,0.75296,734289.9847
05.07.2021 16:30:00.000 GMT+0100,0.75297,0.75318,0.75288,0.75311,418549.99639999995
05.07.2021 16:45:00.000 GMT+0100,0.75311,0.75322,0.75301,0.75317,426599.9937
05.07.2021 17:00:00.000 GMT+0100,0.75318,0.75332,0.75314,0.75325,176399.9987
05.07.2021 17:15:00.000 GMT+0100,0.75326,0.75338,0.75303,0.75316,367659.99620000005
05.07.2021 17:30:00.000 GMT+0100,0.75317,0.75335,0.75310,0.75324,301070.00179999997
05.07.2021 17:45:00.000 GMT+0100,0.75324,0.75334,0.75314,0.75329,514430.0002
05.07.2021 18:00:00.000 GMT+0100,0.75329,0.75329,0.75289,0.75313,514430.01170000003
05.07.2021 18:15:00.000 GMT+0100,0.75313,0.75319,0.75280,0.75300,285660.00279999996
05.07.2021 18:30:00.000 GMT+0100,0.75298,0.75324,0.75281,0.75306,898629.9885999998
05.07.2021 18:45:00.000 GMT+0100,0.75306,0.75312,0.75284,0.75292,382420.0026
05.07.2021 19:00:00.000 GMT+0100,0.75290,0.75311,0.75284,0.75296,808380.0029
05.07.2021 19:15:00.000 GMT+0100,0.75294,0.75301,0.75285,0.75298,464500
05.07.2021 19:30:00.000 GMT+0100,0.75305,0.75319,0.75275,0.75308,4293350.0444
05.07.2021 19:45:00.000 GMT+0100,0.75313,0.75343,0.75298,0.75313,2152920.0116
05.07.2021 20:00:00.000 GMT+0100,0.75314,0.75331,0.75304,0.75322,540970.0012
05.07.2021 20:15:00.000 GMT+0100,0.75321,0.75326,0.75314,0.75323,841860.0064
05.07.2021 20:30:00.000 GMT+0100,0.75320,0.75324,0.75315,0.75320,517140.00619999995
05.07.2021 20:45:00.000 GMT+0100,0.75321,0.75327,0.75299,0.75320,446250.0015
05.07.2021 21:00:00.000 GMT+0100,0.75318,0.75318,0.75291,0.75299,295500
05.07.2021 21:15:00.000 GMT+0100,0.75300,0.75310,0.75299,0.75303,149440.0001
05.07.2021 21:30:00.000 GMT+0100,0.75301,0.75301,0.75288,0.75296,645710.001
05.07.2021 21:45:00.000 GMT+0100,0.75294,0.75310,0.75270,0.75271,195130.00289999996
05.07.2021 22:00:00.000 GMT+0100,0.75271,0.75298,0.75271,0.75280,53839.999299999996
05.07.2021 22:15:00.000 GMT+0100,0.75288,0.75323,0.75280,0.75280,178479.99579999998
05.07.2021 22:30:00.000 GMT+0100,0.75294,0.75308,0.75280,0.75282,169640.0024
05.07.2021 22:45:00.000 GMT+0100,0.75283,0.75291,0.75280,0.75289,81230
05.07.2021 23:00:00.000 GMT+0100,0.75289,0.75350,0.75289,0.75350,185560.00350000002
05.07.2021 23:15:00.000 GMT+0100,0.75353,0.75462,0.75350,0.75449,585890.01
05.07.2021 23:30:00.000 GMT+0100,0.75449,0.75472,0.75421,0.75451,433319.99859999993
05.07.2021 23:45:00.000 GMT+0100,0.75451,0.75467,0.75434,0.75448,238369.9994
06.07.2021 00:00:00.000 GMT+0100,0.75444,0.75446,0.75406,0.75422,405309.999
06.07.2021 00:15:00.000 GMT+0100,0.75418,0.75440,0.75409,0.75414,384009.9983000001
06.07.2021 00:30:00.000 GMT+0100,0.75415,0.75432,0.75413,0.75421,187310.00109999996
06.07.2021 00:45:00.000 GMT+0100,0.75419,0.75457,0.75388,0.75400,552039.999
06.07.2021 01:00:00.000 GMT+0100,0.75401,0.75437,0.75372,0.75419,762220.0062000001
06.07.2021 01:15:00.000 GMT+0100,0.75417,0.75438,0.75390,0.75390,355689.9957
06.07.2021 01:30:00.000 GMT+0100,0.75389,0.75445,0.75389,0.75442,410550.00109999994
06.07.2021 01:45:00.000 GMT+0100,0.75442,0.75481,0.75417,0.75417,987239.994
